1978977

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.35
64                      1.36
128                     1.38
256                     1.42
512                     1.52
1024                    1.66
2048                    1.96
4096                    2.49
8192                    3.65
16384                   4.54
32768                  14.21
65536                  18.07
131072                 23.60
262144                 34.61
524288                 58.67
1048576               119.29
2097152               223.74
4194304               415.56
