1987595

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.28
4                       1.27
8                       1.28
16                      1.27
32                      1.40
64                      1.36
128                     1.39
256                     1.42
512                     1.52
1024                    1.66
2048                    1.95
4096                    2.50
8192                    3.65
16384                   4.55
32768                  14.07
65536                  17.95
131072                 23.43
262144                 34.56
524288                 58.61
1048576               118.75
2097152               224.33
4194304               419.56
