1981709

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.28
4                       1.27
8                       1.27
16                      1.27
32                      1.35
64                      1.40
128                     1.38
256                     1.42
512                     1.52
1024                    1.66
2048                    1.98
4096                    2.49
8192                    3.64
16384                   4.56
32768                  14.06
65536                  17.96
131072                 23.54
262144                 34.57
524288                 58.83
1048576               119.44
2097152               221.44
4194304               409.48
