1975720

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.26
8                       1.27
16                      1.26
32                      1.39
64                      1.35
128                     1.37
256                     1.42
512                     1.52
1024                    1.65
2048                    1.95
4096                    2.49
8192                    3.65
16384                   4.56
32768                  14.08
65536                  17.98
131072                 23.59
262144                 34.57
524288                 58.69
1048576               118.81
2097152               219.85
4194304               416.97
