1982803

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.27
8                       1.28
16                      1.27
32                      1.35
64                      1.36
128                     1.37
256                     1.42
512                     1.51
1024                    1.66
2048                    1.96
4096                    2.49
8192                    3.65
16384                   4.57
32768                  14.17
65536                  17.97
131072                 23.46
262144                 34.44
524288                 58.68
1048576               119.18
2097152               220.69
4194304               413.87
