1983881

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.36
64                      1.35
128                     1.38
256                     1.42
512                     1.52
1024                    1.66
2048                    1.96
4096                    2.49
8192                    3.64
16384                   4.58
32768                  14.13
65536                  18.08
131072                 23.58
262144                 34.60
524288                 58.62
1048576               119.32
2097152               220.38
4194304               420.22
