1989582

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.28
8                       1.28
16                      1.27
32                      1.35
64                      1.35
128                     1.38
256                     1.41
512                     1.51
1024                    1.66
2048                    1.96
4096                    2.48
8192                    3.64
16384                   4.59
32768                  14.06
65536                  17.99
131072                 23.53
262144                 34.49
524288                 58.74
1048576               118.83
2097152               221.77
4194304               416.35
