1988590

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.29
2                       1.28
4                       1.28
8                       1.28
16                      1.28
32                      1.36
64                      1.37
128                     1.39
256                     1.43
512                     1.52
1024                    1.68
2048                    1.98
4096                    2.51
8192                    3.65
16384                   4.57
32768                  14.18
65536                  17.96
131072                 23.49
262144                 34.42
524288                 58.67
1048576               118.87
2097152               218.06
4194304               417.25
