1983340

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.35
64                      1.35
128                     1.38
256                     1.42
512                     1.52
1024                    1.66
2048                    1.97
4096                    2.49
8192                    3.66
16384                   4.57
32768                  14.14
65536                  18.13
131072                 23.62
262144                 34.57
524288                 58.72
1048576               119.44
2097152               226.98
4194304               421.39
