1981002

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.26
8                       1.26
16                      1.27
32                      1.36
64                      1.35
128                     1.38
256                     1.42
512                     1.51
1024                    1.65
2048                    2.00
4096                    2.48
8192                    3.66
16384                   4.57
32768                  14.13
65536                  18.00
131072                 23.51
262144                 34.64
524288                 58.73
1048576               116.95
2097152               220.30
4194304               420.56
