1989440

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.26
4                       1.26
8                       1.27
16                      1.26
32                      1.35
64                      1.35
128                     1.38
256                     1.41
512                     1.51
1024                    1.66
2048                    1.95
4096                    2.48
8192                    3.65
16384                   4.56
32768                  14.05
65536                  17.92
131072                 23.48
262144                 34.45
524288                 58.60
1048576               119.19
2097152               220.42
4194304               410.85
