1983984

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.36
64                      1.36
128                     1.39
256                     1.42
512                     1.52
1024                    1.66
2048                    1.97
4096                    2.48
8192                    3.65
16384                   4.57
32768                  14.25
65536                  18.06
131072                 23.73
262144                 34.63
524288                 58.78
1048576               119.39
2097152               222.95
4194304               414.72
