1987800

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.26
4                       1.27
8                       1.26
16                      1.27
32                      1.35
64                      1.36
128                     1.37
256                     1.42
512                     1.52
1024                    1.66
2048                    1.98
4096                    2.50
8192                    3.64
16384                   4.55
32768                  14.06
65536                  17.96
131072                 23.49
262144                 34.53
524288                 58.80
1048576               119.41
2097152               220.46
4194304               421.36
