1982632

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.28
16                      1.27
32                      1.36
64                      1.36
128                     1.39
256                     1.43
512                     1.52
1024                    1.67
2048                    1.97
4096                    2.51
8192                    3.65
16384                   4.58
32768                  14.13
65536                  18.05
131072                 23.54
262144                 34.55
524288                 58.68
1048576               119.34
2097152               220.72
4194304               420.39
