1985068

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.27
16                      1.28
32                      1.35
64                      1.35
128                     1.38
256                     1.42
512                     1.51
1024                    1.65
2048                    1.95
4096                    2.47
8192                    3.65
16384                   4.57
32768                  14.12
65536                  17.98
131072                 23.52
262144                 34.56
524288                 58.74
1048576               119.41
2097152               223.66
4194304               423.34
