1978379

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.35
64                      1.35
128                     1.38
256                     1.42
512                     1.51
1024                    1.65
2048                    1.97
4096                    2.49
8192                    3.64
16384                   4.55
32768                  14.23
65536                  18.06
131072                 23.53
262144                 34.55
524288                 58.68
1048576               119.29
2097152               218.61
4194304               416.39
