1986160

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.29
4                       1.28
8                       1.28
16                      1.28
32                      1.37
64                      1.36
128                     1.39
256                     1.43
512                     1.52
1024                    1.67
2048                    1.96
4096                    2.49
8192                    3.66
16384                   4.57
32768                  14.18
65536                  18.04
131072                 23.69
262144                 34.60
524288                 58.79
1048576               119.33
2097152               222.57
4194304               422.15
