1987261

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.26
8                       1.26
16                      1.26
32                      1.35
64                      1.35
128                     1.38
256                     1.46
512                     1.51
1024                    1.65
2048                    1.96
4096                    2.48
8192                    3.64
16384                   4.56
32768                  14.14
65536                  17.97
131072                 23.64
262144                 34.60
524288                 58.71
1048576               119.42
2097152               223.39
4194304               422.34
