1976115

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.28
8                       1.27
16                      1.27
32                      1.35
64                      1.36
128                     1.38
256                     1.42
512                     1.52
1024                    1.66
2048                    1.97
4096                    2.49
8192                    3.65
16384                   4.57
32768                  14.07
65536                  17.92
131072                 23.50
262144                 34.58
524288                 58.62
1048576               119.27
2097152               219.17
4194304               419.34
