1980464

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.28
8                       1.26
16                      1.27
32                      1.35
64                      1.36
128                     1.38
256                     1.42
512                     1.52
1024                    1.66
2048                    1.95
4096                    2.48
8192                    3.65
16384                   4.57
32768                  14.14
65536                  17.97
131072                 23.51
262144                 34.68
524288                 58.69
1048576               114.97
2097152               216.52
4194304               419.92
