1979369

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.28
4                       1.28
8                       1.28
16                      1.28
32                      1.35
64                      1.36
128                     1.37
256                     1.42
512                     1.51
1024                    1.65
2048                    1.95
4096                    2.49
8192                    3.63
16384                   4.55
32768                  14.04
65536                  18.02
131072                 23.51
262144                 34.54
524288                 58.83
1048576               119.29
2097152               217.70
4194304               422.58
