1988892

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.35
64                      1.35
128                     1.38
256                     1.42
512                     1.52
1024                    1.65
2048                    1.95
4096                    2.49
8192                    3.65
16384                   4.57
32768                  14.07
65536                  18.02
131072                 23.48
262144                 34.54
524288                 58.71
1048576               119.28
2097152               222.33
4194304               413.96
