1983581

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.26
16                      1.27
32                      1.35
64                      1.35
128                     1.38
256                     1.42
512                     1.51
1024                    1.65
2048                    1.95
4096                    2.48
8192                    3.64
16384                   4.55
32768                  14.09
65536                  18.03
131072                 23.47
262144                 34.52
524288                 58.51
1048576               119.29
2097152               225.96
4194304               419.28
