1984526

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.40
64                      1.36
128                     1.38
256                     1.42
512                     1.51
1024                    1.65
2048                    1.96
4096                    2.49
8192                    3.66
16384                   4.57
32768                  14.07
65536                  18.00
131072                 23.56
262144                 34.50
524288                 58.80
1048576               119.25
2097152               223.60
4194304               420.53
