1986718

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.27
16                      1.27
32                      1.36
64                      1.35
128                     1.38
256                     1.42
512                     1.52
1024                    1.65
2048                    1.94
4096                    2.50
8192                    3.65
16384                   4.58
32768                  14.16
65536                  17.99
131072                 23.49
262144                 34.52
524288                 58.58
1048576               119.33
2097152               222.98
4194304               423.71
