1985619

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.27
2                       1.27
4                       1.27
8                       1.28
16                      1.27
32                      1.35
64                      1.35
128                     1.38
256                     1.46
512                     1.52
1024                    1.66
2048                    1.95
4096                    2.48
8192                    3.64
16384                   4.56
32768                  14.08
65536                  17.99
131072                 23.54
262144                 34.55
524288                 58.53
1048576               119.24
2097152               225.26
4194304               414.75
