1978926

# OSU MPI Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       1.28
2                       1.27
4                       1.28
8                       1.27
16                      1.27
32                      1.35
64                      1.36
128                     1.38
256                     1.42
512                     1.51
1024                    1.65
2048                    1.96
4096                    2.47
8192                    3.64
16384                   4.55
32768                  14.11
65536                  17.90
131072                 23.54
262144                 34.51
524288                 58.70
1048576               117.75
2097152               220.00
4194304               420.75
