934966

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      16.49
2                      18.49
4                      21.67
8                      16.57
16                     15.73
32                     13.42
64                     15.29
128                    18.41
256                    19.85
512                    14.67
1024                   21.19
2048                   20.96
4096                   26.83
8192                   31.67
16384                  36.16
32768                 115.35
65536                 132.06
131072                161.15
262144                271.78
