937244

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      26.22
2                      28.69
4                      33.54
8                      23.10
16                     23.63
32                     12.47
64                      9.30
128                    11.29
256                    13.95
512                    23.61
1024                   19.27
2048                   24.63
4096                   33.60
8192                   33.10
16384                  35.19
32768                 105.46
65536                 129.05
131072                166.75
262144                268.63
