937707

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      13.53
2                      15.65
4                      18.00
8                      29.64
16                     21.44
32                     19.45
64                     12.77
128                    24.92
256                    21.12
512                    20.75
1024                   18.10
2048                   19.34
4096                   27.31
8192                   30.40
16384                  39.38
32768                 115.94
65536                 135.72
131072                160.10
262144                270.07
