927054

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      18.71
2                      20.07
4                      16.82
8                      14.94
16                     10.28
32                      9.26
64                     11.73
128                    17.27
256                    26.11
512                    18.22
1024                   24.45
2048                   25.89
4096                   31.47
8192                   31.55
16384                  34.52
32768                 110.68
65536                 125.83
131072                168.98
262144                264.09
