927983

# OSU MPI Broadcast Latency Test v7.4
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      15.40
2                      20.11
4                      23.57
8                      14.71
16                     13.88
32                     14.06
64                     15.92
128                    20.39
256                    20.81
512                    21.31
1024                   14.78
2048                   19.33
4096                   23.73
8192                   30.56
16384                  39.31
32768                 121.49
65536                 140.88
131072                173.20
262144                270.23
