1635883

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.15              8.95              8.02             47.71
2                      13.29              8.97              8.08             46.48
4                      12.66              8.99              8.14             54.94
8                      12.84              8.56              7.71             44.36
16                     12.57              8.28              7.49             42.65
32                     12.92              9.12              8.30             54.23
64                     11.54              8.09              7.23             52.17
128                    12.04              8.21              7.37             48.03
256                    12.22              8.39              7.65             49.99
512                    11.72              8.46              7.66             57.39
1024                   13.41              9.24              8.37             50.16
2048                   14.35             10.30              9.36             56.80
4096                   17.07             11.98             10.89             53.27
8192                   22.57             15.97             14.71             55.16
16384                  33.58             22.68             21.03             48.18
32768                 108.92             64.79             60.80             27.42
65536                 140.10             78.72             73.94             16.99
131072                204.26            116.20            109.30             19.43
262144                330.83            185.88            175.09             17.21
