1642655

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.49              8.25              7.42             42.88
2                      12.25              8.34              7.53             48.10
4                      12.80              8.56              7.75             45.26
8                      11.64              7.89              7.09             47.16
16                     11.97              8.13              7.30             47.45
32                     12.35              8.34              7.54             46.77
64                     12.21              8.34              7.49             48.35
128                    12.23              8.35              7.52             48.41
256                    12.17              8.48              7.65             51.68
512                    12.88              9.08              8.22             53.81
1024                   12.76              8.88              8.01             51.50
2048                   14.29             10.04              9.13             53.45
4096                   16.79             12.04             11.03             56.94
8192                   22.77             15.91             14.64             53.11
16384                  34.08             22.39             20.78             43.74
32768                 110.46             62.53             58.68             18.32
65536                 141.38             80.45             75.46             19.26
131072                202.90            114.68            107.93             18.26
262144                323.08            182.78            172.30             18.57
