1644485

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.26              8.82              7.93             44.03
2                      13.03              9.09              8.19             51.93
4                      11.50              7.74              7.02             46.46
8                      11.46              7.74              6.96             46.56
16                     11.86              8.19              7.40             50.38
32                     11.58              8.05              7.27             51.41
64                     12.09              8.26              7.40             48.29
128                    11.23              7.98              7.21             55.05
256                    11.23              7.92              7.08             53.23
512                    11.83              8.74              7.83             60.52
1024                   13.07              9.25              8.36             54.29
2048                   13.76              9.97              9.07             58.23
4096                   16.42             11.68             10.70             55.72
8192                   21.62             15.25             14.01             54.57
16384                  33.19             21.93             20.33             44.59
32768                 107.37             61.40             57.62             20.22
65536                 141.94             80.65             75.78             19.12
131072                200.22            111.72            105.15             15.84
262144                320.80            179.14            168.87             16.11
