1643593

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.73              9.05              8.16             54.94
2                      12.95              9.13              8.20             53.46
4                      12.14              8.53              7.69             53.02
8                      11.75              8.01              7.17             47.92
16                     12.41              8.47              7.60             48.15
32                     11.60              7.97              7.17             49.44
64                     12.05              8.51              7.73             54.21
128                    12.43              8.41              7.65             47.41
256                    12.32              8.48              7.56             49.15
512                    12.91              8.92              8.03             50.25
1024                   13.01              8.94              8.00             49.15
2048                   14.45             10.01              9.04             50.86
4096                   16.52             12.17             11.13             60.88
8192                   22.00             15.70             14.47             56.43
16384                  33.02             21.81             20.15             44.34
32768                 108.09             63.08             59.07             23.80
65536                 143.10             82.41             77.32             21.51
131072                204.50            113.86            107.17             15.42
262144                325.85            186.87            176.13             21.09
