1644362

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.06              8.38              7.53             51.09
2                      12.86              9.07              8.14             53.43
4                      12.31              8.82              7.88             55.71
8                      11.64              8.11              7.34             51.93
16                     11.47              7.97              7.21             51.44
32                     12.00              8.41              7.53             52.26
64                     11.91              8.20              7.43             50.13
128                    12.06              8.31              7.48             49.87
256                    12.31              8.54              7.68             50.96
512                    12.28              8.69              7.90             54.59
1024                   13.25              8.91              8.07             46.19
2048                   13.61              9.69              8.73             55.07
4096                   16.44             11.79             10.77             56.79
8192                   21.86             15.58             14.33             56.24
16384                  32.29             21.53             19.94             46.07
32768                 108.89             62.69             58.88             21.53
65536                 141.73             80.71             75.79             19.49
131072                201.84            113.44            106.80             17.23
262144                336.34            187.53            176.65             15.76
