1643473

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.24              8.07              7.25             42.39
2                      14.55             10.68              9.74             60.24
4                      11.55              7.82              7.02             46.87
8                      10.61              7.63              6.79             56.22
16                     10.91              7.74              6.87             53.78
32                     11.70              8.18              7.32             51.87
64                     11.85              8.15              7.33             49.43
128                    11.45              8.05              7.26             53.20
256                    11.26              8.21              7.40             58.72
512                    11.90              8.41              7.54             53.58
1024                   12.58              9.08              8.19             57.18
2048                   13.40              9.75              8.84             58.69
4096                   16.39             11.52             10.52             53.66
8192                   21.69             15.07             13.88             52.32
16384                  33.36             22.44             20.81             47.49
32768                 113.70             63.15             59.20             14.63
65536                 141.45             82.82             77.86             24.70
131072                203.13            114.87            108.14             18.39
262144                328.18            185.07            174.47             17.98
