1643917

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.15              9.16              8.33             52.13
2                      11.76              7.83              7.08             44.43
4                      12.40              8.37              7.56             46.80
8                      11.85              8.24              7.35             50.82
16                     11.47              7.98              7.18             51.37
32                     11.52              8.10              7.28             52.96
64                     11.84              8.20              7.48             51.29
128                    11.99              8.41              7.57             52.59
256                    11.87              8.49              7.63             55.75
512                    12.74              8.94              8.15             53.49
1024                   12.66              8.90              7.98             52.85
2048                   14.08              9.92              8.98             53.70
4096                   15.62             11.24             10.23             57.16
8192                   21.26             15.03             13.84             54.97
16384                  31.56             21.32             19.77             48.16
32768                 109.40             62.92             59.08             21.32
65536                 141.10             82.19             77.23             23.72
131072                203.36            115.30            108.55             18.87
262144                328.52            187.60            176.77             20.28
