1644231

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.70              8.74              7.85             49.51
2                      11.92              8.25              7.42             50.54
4                      12.21              8.61              7.71             53.39
8                      11.76              8.26              7.46             53.01
16                     11.95              8.32              7.48             51.46
32                     12.15              8.22              7.48             47.51
64                     11.55              8.06              7.30             52.15
128                    11.95              8.36              7.49             52.13
256                    12.14              8.61              7.78             54.58
512                    11.43              8.21              7.40             56.52
1024                   12.45              8.85              8.00             54.95
2048                   14.43             10.66              9.69             61.12
4096                   17.12             12.47             11.42             59.29
8192                   22.10             15.43             14.16             52.89
16384                  33.29             22.07             20.49             45.23
32768                 111.26             63.37             59.52             19.55
65536                 142.47             80.48             75.63             18.03
131072                207.08            117.73            110.85             19.39
262144                322.98            183.25            172.58             19.04
