1643002

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.38              8.59              7.76             51.22
2                      11.78              8.20              7.39             51.55
4                      12.03              8.24              7.35             48.40
8                      11.67              7.85              7.08             46.02
16                     12.18              8.41              7.55             50.04
32                     11.86              8.21              7.44             50.93
64                     11.63              7.81              7.06             45.79
128                    12.39              8.38              7.53             46.74
256                    12.27              8.63              7.77             53.14
512                    13.06              9.04              8.14             50.61
1024                   12.84              8.92              8.09             51.54
2048                   14.36             10.06              9.12             52.87
4096                   17.10             12.25             11.19             56.67
8192                   22.35             15.94             14.69             56.38
16384                  33.01             21.29             19.75             40.66
32768                 107.32             59.39             55.69             13.93
65536                 143.88             81.47             76.44             18.35
131072                207.81            116.13            109.13             15.99
262144                323.67            183.96            173.40             19.43
