1634483

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.17              8.65              7.77             41.80
2                      12.19              8.02              7.21             42.24
4                      11.95              8.38              7.66             53.38
8                      11.95              7.94              7.15             44.04
16                     12.06              8.51              7.70             53.83
32                     11.56              8.05              7.27             51.77
64                     12.14              8.42              7.57             50.88
128                    11.42              8.18              7.35             55.97
256                    12.35              8.81              8.02             55.90
512                    12.75              8.98              8.07             53.24
1024                   13.69              9.70              8.83             54.78
2048                   14.99             10.45              9.44             51.83
4096                   16.35             11.76             10.74             57.28
8192                   22.13             15.66             14.42             55.10
16384                  32.87             21.24             19.66             40.84
32768                 109.39             63.48             59.62             23.00
65536                 140.04             79.68             74.90             19.41
131072                203.91            115.94            109.20             19.44
262144                331.98            188.28            177.50             19.04
