1637218

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.77              8.63              7.70             46.18
2                      12.65              8.82              7.99             52.10
4                      11.69              8.08              7.28             50.44
8                      12.04              8.23              7.36             48.25
16                     12.39              8.39              7.57             47.22
32                     12.38              8.39              7.56             47.31
64                     12.95              9.18              8.35             54.81
128                    12.88              8.84              8.04             49.72
256                    13.24              9.41              8.55             55.18
512                    12.05              8.62              7.77             55.83
1024                   12.24              8.71              7.88             55.17
2048                   14.26             10.40              9.47             59.20
4096                   17.54             12.38             11.37             54.61
8192                   22.36             15.56             14.35             52.61
16384                  32.52             21.37             19.83             43.74
32768                 111.00             61.60             57.85             14.61
65536                 139.12             80.06             75.13             21.39
131072                204.19            116.15            109.32             19.47
262144                330.25            183.42            172.78             15.02
