1645048

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.11              9.20              8.30             52.85
2                      12.81              8.65              7.78             46.46
4                      11.52              7.81              7.04             47.37
8                      11.87              8.15              7.41             49.84
16                     11.62              8.15              7.32             52.64
32                     11.29              7.79              6.98             49.96
64                     11.70              8.08              7.30             50.34
128                    12.23              8.55              7.61             51.65
256                    12.31              8.33              7.55             47.28
512                    12.68              8.94              8.12             54.02
1024                   13.30              9.36              8.42             53.21
2048                   14.58             10.46              9.53             56.76
4096                   17.03             12.02             11.05             54.61
8192                   21.52             15.00             13.84             52.92
16384                  32.62             21.56             19.90             44.42
32768                 105.38             61.03             57.32             22.62
65536                 141.58             82.23             77.32             23.25
131072                205.96            116.62            109.56             18.46
262144                331.96            185.83            175.09             16.54
