1644832

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      14.38             10.16              9.17             54.05
2                      13.26              9.14              8.32             50.48
4                      12.31              8.26              7.39             45.16
8                      12.27              8.59              7.75             52.51
16                     12.59              8.74              7.86             51.02
32                     12.96              8.97              8.18             51.10
64                     12.70              8.78              7.92             50.51
128                    12.43              8.73              7.83             52.66
256                    11.41              8.15              7.41             56.12
512                    13.19              9.08              8.20             49.82
1024                   13.56              9.50              8.66             53.11
2048                   15.12             10.52              9.50             51.60
4096                   17.48             12.37             11.26             54.63
8192                   22.26             16.00             14.69             57.40
16384                  31.36             20.56             19.17             43.63
32768                 112.53             62.64             58.80             15.16
65536                 143.96             80.99             75.95             17.09
131072                206.57            116.38            109.42             17.58
262144                323.13            183.45            172.92             19.22
