1641108

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.98              8.68              7.81             44.91
2                      12.75              8.59              7.77             46.49
4                      12.27              8.41              7.60             49.20
8                      11.67              7.98              7.14             48.33
16                     14.44             10.38              9.46             57.10
32                     13.29              9.28              8.45             52.57
64                     12.78              8.12              7.35             36.62
128                    13.00              8.84              8.00             47.89
256                    12.34              8.55              7.71             50.74
512                    12.49              8.97              8.10             56.56
1024                   12.77              8.97              8.14             53.39
2048                   15.24             11.01              9.95             57.48
4096                   16.92             12.29             11.29             58.92
8192                   21.73             15.32             14.06             54.42
16384                  33.67             22.61             20.96             47.27
32768                 111.24             62.84             59.00             17.97
65536                 141.12             80.51             75.66             19.89
131072                205.46            117.28            110.37             20.10
262144                325.36            183.99            173.48             18.51
