1641228

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      11.65              8.01              7.19             49.23
2                      13.49              9.43              8.55             52.58
4                      12.41              8.52              7.64             49.12
8                      12.24              8.44              7.55             49.66
16                     11.51              8.10              7.30             53.25
32                     11.57              7.86              7.07             47.43
64                     11.49              8.14              7.35             54.31
128                    11.81              8.15              7.39             50.49
256                    12.12              8.30              7.49             48.95
512                    12.41              8.60              7.66             50.31
1024                   13.85              9.89              8.94             55.74
2048                   14.43             10.29              9.38             55.79
4096                   16.76             12.33             11.27             60.70
8192                   22.42             15.32             14.13             49.74
16384                  32.91             20.94             19.41             38.38
32768                 111.83             62.98             59.12             17.37
65536                 143.93             82.05             77.12             19.76
131072                206.56            118.30            111.38             20.76
262144                322.08            179.77            169.51             16.05
