1633191

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.54              8.39              7.53             44.85
2                      12.14              8.24              7.40             47.24
4                      12.26              8.37              7.51             48.15
8                      11.21              7.85              7.04             52.31
16                     11.45              8.00              7.17             51.90
32                     12.08              8.34              7.50             50.16
64                     12.73              8.63              7.71             46.82
128                    13.19              9.06              8.18             49.44
256                    12.59              8.66              7.80             49.72
512                    12.51              8.96              8.11             56.20
1024                   12.51              8.86              8.06             54.68
2048                   14.11              9.95              9.07             54.18
4096                   16.57             11.70             10.68             54.42
8192                   21.32             14.98             13.85             54.24
16384                  34.37             22.82             21.20             45.54
32768                 106.61             61.77             58.03             22.71
65536                 141.21             80.80             75.99             20.50
131072                201.93            113.02            106.42             16.45
262144                321.94            179.87            169.47             16.17
