1642536

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.85              8.93              8.02             51.15
2                      12.52              8.46              7.68             47.15
4                      12.37              8.58              7.77             51.26
8                      10.61              7.39              6.60             51.27
16                     11.35              7.95              7.15             52.47
32                     12.08              8.38              7.61             51.37
64                     12.21              8.22              7.51             46.81
128                    12.87              8.96              8.06             51.59
256                    12.75              8.93              8.09             52.83
512                    13.08              8.92              8.03             48.21
1024                   14.29              9.82              8.88             49.75
2048                   14.81             10.62              9.57             56.25
4096                   16.52             11.58             10.58             53.23
8192                   22.38             15.62             14.37             52.90
16384                  30.97             21.26             19.67             50.61
32768                 107.65             61.24             57.46             19.22
65536                 142.44             83.07             78.00             23.89
131072                208.02            116.32            109.17             16.00
262144                333.27            187.55            176.84             17.59
