1637099

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      13.75              9.40              8.48             48.73
2                      13.02              9.00              8.11             50.35
4                      12.19              8.19              7.32             45.27
8                      11.41              8.06              7.29             54.01
16                     11.83              8.22              7.29             50.42
32                     11.63              8.16              7.30             52.44
64                     12.79              8.59              7.79             45.96
128                    13.47              9.40              8.54             52.33
256                    13.08              9.17              8.25             52.58
512                    12.79              8.94              8.07             52.34
1024                   12.75              9.12              8.27             56.02
2048                   13.95             10.02              9.07             56.65
4096                   16.53             11.78             10.75             55.83
8192                   22.08             15.75             14.49             56.34
16384                  32.47             21.37             19.76             43.82
32768                 109.46             62.60             58.73             20.20
65536                 140.18             79.05             74.28             17.71
131072                205.13            116.20            109.41             18.71
262144                321.96            180.87            170.48             17.24
