1644715

# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.38              8.20              7.38             43.32
2                      14.73              9.91              8.97             46.27
4                      13.67              9.53              8.65             52.14
8                      12.53              8.50              7.69             47.58
16                     11.64              7.82              7.10             46.21
32                     13.14              8.89              8.00             46.91
64                     12.34              8.88              8.07             57.12
128                    12.88              8.63              7.81             45.52
256                    12.95              8.82              7.98             48.20
512                    12.96              8.94              8.09             50.31
1024                   13.72              9.62              8.74             53.14
2048                   14.30             10.03              9.08             52.97
4096                   16.85             11.86             10.84             53.96
8192                   22.73             16.17             14.96             56.13
16384                  32.70             21.19             19.66             41.43
32768                 110.62             63.35             59.38             20.39
65536                 138.59             80.25             75.47             22.69
131072                209.87            117.34            110.47             16.24
262144                334.01            186.92            176.23             16.53
