
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      14.17              6.15              5.02              0.00
2                       8.39              6.81              6.09             74.01
4                       7.66              5.60              4.95             58.45
8                       7.56              5.64              5.02             61.73
16                      7.41              5.49              4.85             60.38
32                      7.41              5.48              4.84             60.07
64                      7.39              5.49              4.86             60.90
128                     7.79              5.91              5.24             64.05
256                    12.89              8.34              7.54             39.70
512                    13.19              8.43              7.60             37.44
1024                   13.46              8.61              7.77             37.60
2048                   14.02              9.04              8.20             39.19
4096                   14.23              9.28              8.38             40.88
8192                   15.30             10.17              9.25             44.53
16384                  17.65             11.71             10.66             44.21
32768                  30.14             20.94             19.36             52.44
65536                  43.31             31.14             28.92             57.92
131072                 69.48             51.64             48.16             62.96
262144                122.15             92.68             86.55             65.94
