
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.70              5.72              5.06             60.76
2                       7.78              5.59              4.93             55.73
4                       7.77              5.79              5.15             61.41
8                       7.63              5.68              5.04             61.22
16                      7.36              5.47              4.84             60.98
32                      7.34              5.46              4.82             60.87
64                      7.34              5.46              4.83             61.15
128                     7.87              5.91              5.22             62.62
256                    12.90              8.34              7.53             39.40
512                    13.12              8.40              7.57             37.63
1024                   13.41              8.63              7.78             38.71
2048                   13.80              9.00              8.14             41.04
4096                   14.27              9.52              8.55             44.54
8192                   15.30             10.17              9.24             44.41
16384                  17.69             11.82             10.78             45.62
32768                  30.12             20.94             19.35             52.58
65536                  43.40             31.20             28.97             57.88
131072                 69.56             51.63             48.17             62.77
262144                123.73             92.60             86.60             64.05
