
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      10.68              5.87              4.93              2.25
2                       9.00              7.20              6.45             72.03
4                       7.71              5.62              4.93             57.52
8                       7.57              5.63              5.01             61.32
16                      7.36              5.45              4.82             60.22
32                      7.36              5.43              4.81             59.78
64                      7.49              5.46              4.83             57.96
128                     7.72              5.87              5.21             64.46
256                    12.88              8.34              7.54             39.83
512                    13.23              8.44              7.62             37.06
1024                   13.43              8.68              7.83             39.39
2048                   13.82              9.01              8.15             41.01
4096                   14.24              9.31              8.39             41.23
8192                   15.35             10.19              9.23             44.15
16384                  17.70             11.75             10.71             44.46
32768                  30.08             20.94             19.37             52.82
65536                  43.66             31.13             28.92             56.64
131072                 69.51             51.55             48.06             62.62
262144                121.93             92.54             86.56             66.05
