
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.81              6.03              5.09              0.00
2                       7.71              5.72              5.08             60.81
4                       7.67              5.59              4.93             57.88
8                       7.57              5.65              5.01             61.62
16                      7.44              5.81              5.15             68.26
32                      7.33              5.45              4.82             60.94
64                      7.36              5.46              4.84             60.56
128                     7.71              5.86              5.20             64.50
256                    12.90              8.33              7.53             39.28
512                    13.06              8.35              7.55             37.62
1024                   13.40              8.63              7.79             38.81
2048                   13.76              9.00              8.16             41.61
4096                   14.22              9.28              8.38             41.14
8192                   15.34             10.17              9.23             44.01
16384                  17.67             11.71             10.69             44.25
32768                  30.12             20.91             19.34             52.38
65536                  43.36             31.28             29.04             58.42
131072                 69.46             51.49             47.99             62.56
262144                122.09             92.56             86.56             65.89
