
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       7.58              5.69              5.05             62.54
2                       7.71              5.64              5.01             58.66
4                       7.70              5.63              4.99             58.59
8                       7.57              5.66              5.04             62.12
16                      7.36              5.48              4.85             61.25
32                      7.38              5.49              4.85             61.05
64                      7.36              5.48              4.84             61.26
128                     7.73              5.88              5.23             64.58
256                    12.94              8.36              7.57             39.49
512                    13.16              8.42              7.58             37.50
1024                   13.47              8.67              7.81             38.49
2048                   13.97              9.03              8.18             39.62
4096                   14.31              9.40              8.52             42.41
8192                   15.39             10.17              9.28             43.82
16384                  17.72             11.79             10.74             44.79
32768                  30.20             20.91             19.33             51.96
65536                  43.40             31.30             29.05             58.36
131072                 69.60             51.71             48.23             62.89
262144                122.18             92.61             86.61             65.86
