
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      14.44              6.33              5.01              0.00
2                       8.70              6.38              5.69             59.17
4                       7.64              5.59              4.95             58.67
8                       7.50              5.62              5.01             62.40
16                      7.32              5.51              4.85             62.67
32                      7.33              5.47              4.84             61.58
64                      7.35              5.49              4.86             61.83
128                     7.71              5.88              5.21             64.89
256                    12.90              8.34              7.56             39.77
512                    13.14              8.38              7.57             37.23
1024                   13.43              8.64              7.79             38.56
2048                   13.79              9.04              8.19             41.98
4096                   14.38              9.73              8.74             46.78
8192                   15.28             10.14              9.23             44.31
16384                  17.70             11.74             10.70             44.35
32768                  30.13             20.93             19.34             52.43
65536                  43.45             31.25             29.02             57.97
131072                 69.49             51.59             48.09             62.77
262144                122.86             93.36             86.50             65.89
