
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                      12.56              5.88              5.10              0.00
2                      10.11              8.47              7.46             78.04
4                       7.73              5.61              4.95             57.24
8                       7.54              5.62              5.01             61.60
16                      7.31              5.44              4.82             61.31
32                      7.32              5.48              4.83             61.83
64                      7.43              5.47              4.84             59.45
128                     7.78              5.89              5.23             63.99
256                    12.89              8.35              7.56             40.03
512                    13.19              8.41              7.59             37.06
1024                   13.43              8.62              7.78             38.20
2048                   13.86              9.02              8.16             40.68
4096                   14.26              9.39              8.42             42.13
8192                   15.33             10.16              9.25             44.15
16384                  17.63             11.71             10.71             44.63
32768                  30.17             21.02             19.40             52.85
65536                  43.50             31.27             29.03             57.89
131072                 69.49             51.60             48.14             62.83
262144                122.05             92.61             86.60             66.00
