
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.55              3.23              2.80             52.92
2                       8.43              5.75              4.28             37.43
4                       5.59              3.76              2.84             35.74
8                       4.71              3.36              2.83             52.24
16                      6.56              4.34              3.87             42.80
32                      4.48              3.25              2.88             57.23
64                      4.51              3.25              2.81             55.32
128                     5.06              3.63              3.08             53.76
256                     9.10              6.12              5.47             45.50
512                     9.31              6.25              5.63             45.55
1024                    9.73              6.53              5.76             44.50
2048                    9.76              6.66              5.95             47.90
4096                    9.88              6.66              6.04             46.72
8192                   10.83              7.49              6.71             50.12
16384                  12.22              8.56              7.72             52.55
32768                  19.82             14.09             12.94             55.71
65536                  24.08             17.65             16.24             60.41
131072                 32.94             25.02             23.17             65.84
262144                 50.45             39.75             36.99             71.06
