
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.63              3.29              2.83             52.57
2                       9.14              6.53              4.88             46.55
4                       4.75              3.36              2.85             51.42
8                       4.68              3.36              2.87             53.94
16                      4.74              3.35              2.84             51.32
32                      4.52              3.30              2.89             57.64
64                      4.60              3.29              2.83             53.73
128                     5.05              3.51              3.11             50.24
256                     9.12              6.12              5.50             45.36
512                     9.22              6.23              5.62             46.78
1024                    9.64              6.46              5.69             44.19
2048                    9.81              6.67              5.92             47.03
4096                    9.88              6.67              6.05             47.00
8192                   10.85              7.49              6.79             50.57
16384                  12.48              8.74              7.89             52.50
32768                  19.82             14.07             12.98             55.75
65536                  23.73             17.19             15.83             58.69
131072                 32.72             24.80             23.05             65.64
262144                 49.88             39.40             36.65             71.41
