
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.51              3.23              2.75             53.46
2                       4.63              3.30              2.85             53.36
4                       7.59              6.29              5.68             77.09
8                       6.40              4.35              3.71             44.75
16                      4.78              3.35              2.82             49.46
32                      4.57              3.36              2.92             58.42
64                      4.50              3.23              2.79             54.42
128                     5.06              3.54              3.06             50.34
256                     9.09              6.10              5.41             44.74
512                     9.22              6.22              5.47             45.11
1024                    9.30              6.25              5.59             45.37
2048                    9.75              6.59              5.81             45.66
4096                   10.07              6.77              6.05             45.56
8192                   10.80              7.43              6.62             49.17
16384                  12.20              8.56              7.67             52.52
32768                  19.66             14.07             12.86             56.50
65536                  23.57             17.26             15.88             60.28
131072                 32.37             24.60             22.75             65.84
262144                 49.73             39.24             36.53             71.29
