
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.50              3.26              2.80             55.46
2                       6.96              3.91              3.33              8.18
4                       5.48              3.70              3.24             45.00
8                       4.63              3.29              2.81             52.21
16                      4.77              3.52              2.96             57.71
32                      4.65              3.41              2.93             57.80
64                      4.49              3.24              2.79             55.00
128                     5.07              3.63              3.10             53.73
256                     9.16              6.16              5.43             44.68
512                     9.25              6.25              5.64             46.85
1024                    9.33              6.26              5.61             45.29
2048                    9.77              6.66              5.93             47.58
4096                   10.12              6.89              6.19             47.75
8192                   10.85              7.49              6.75             50.18
16384                  12.05              8.47              7.71             53.53
32768                  19.38             13.68             12.55             54.58
65536                  24.06             17.64             16.18             60.29
131072                 33.02             25.09             23.21             65.82
262144                 51.70             41.12             36.82             71.26
