
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.47              3.24              2.76             55.43
2                       5.70              4.35              2.87             52.92
4                       7.10              4.12              2.81              0.00
8                       4.68              3.33              2.83             52.07
16                      5.43              3.33              2.81             25.11
32                      4.52              3.29              2.90             57.54
64                      4.64              3.35              2.83             54.17
128                     5.03              3.57              3.06             52.26
256                     9.11              6.13              5.45             45.38
512                     9.19              6.19              5.47             45.28
1024                    9.32              6.25              5.60             45.24
2048                    9.77              6.64              5.83             46.33
4096                    9.86              6.66              5.98             46.59
8192                   10.80              7.47              6.62             49.73
16384                  12.20              8.59              7.81             53.80
32768                  19.25             13.69             12.54             55.62
65536                  23.54             17.21             15.88             60.12
131072                 32.50             24.67             22.81             65.68
262144                 49.77             39.28             36.53             71.29
