
# OSU MPI Non-Blocking Broadcast Latency Test v7.4
# Overall = Coll. Init + Compute + MPI_Test + MPI_Wait

# Datatype: MPI_CHAR.
# Size           Overall(us)       Compute(us)    Pure Comm.(us)        Overlap(%)
1                       4.53              3.26              2.83             55.28
2                       5.68              3.89              2.90             38.26
4                       6.13              4.25              2.88             34.82
8                       4.77              3.36              2.81             50.13
16                      4.72              3.36              2.88             52.76
32                      4.59              3.34              2.90             57.07
64                      4.55              3.27              2.81             54.50
128                     5.04              3.63              3.10             54.38
256                     9.11              6.11              5.51             45.51
512                     9.25              6.24              5.58             46.09
1024                    9.75              6.54              5.75             44.21
2048                    9.79              6.66              5.89             46.86
4096                   10.05              6.79              6.12             46.73
8192                   10.84              7.49              6.71             50.05
16384                  12.58              8.81              7.91             52.33
32768                  20.26             14.44             13.18             55.88
65536                  23.54             17.24             15.85             60.29
131072                 32.46             24.61             22.76             65.51
262144                 50.61             39.84             37.05             70.94
